RID,Time_Departure,Distance,Weekday,Hour,Day,Signaltype,Time_Arrival,Speed_Per_Hour,Time_Driving,Address1,Address2
R00374,2023-01-16 14:00:00,22285.405889608468,Wed,21,22,43,2023-01-16 17:47:00,32.19366452338065,2492.0,서울특별시,상세주소374
R00375,2023-01-16 15:00:00,96373.71345783463,Thu,5,7,4,2023-01-16 16:47:00,80.65716257731162,4301.0,인천광역시,상세주소375
R00376,2023-01-16 16:00:00,253617.71797986692,Sun,15,29,4,2023-01-16 19:35:00,37.21700536954532,24532.0,충청남도,상세주소376
R00377,2023-01-16 17:00:00,7958.308785011934,Mon,19,23,30,2023-01-16 21:42:00,72.28397102848702,396.0,경기도,상세주소377
R00378,2023-01-16 18:00:00,244526.0762940918,Thu,11,29,44,2023-01-16 18:42:00,37.88332510814284,23236.0,경기도,상세주소378
R00379,2023-01-16 19:00:00,85274.57765724658,Wed,10,25,8,2023-01-16 20:45:00,44.53587591275686,6893.0,충청남도,상세주소379
R00380,2023-01-16 20:00:00,36331.28345887522,Sun,9,6,41,2023-01-16 21:20:00,40.873017281390354,3199.0,충청남도,상세주소380
R00381,2023-01-16 21:00:00,209324.41244388104,Thu,2,14,31,2023-01-16 23:58:00,62.7791717856344,12003.0,서울특별시,상세주소381
R00382,2023-01-16 22:00:00,189053.91118718532,Sat,12,8,32,2023-01-17 02:08:00,56.08930972750869,12134.0,-,상세주소382
R00383,2023-01-16 23:00:00,263364.13204458886,Sat,2,27,2,2023-01-17 01:31:00,70.17818875261383,13510.0,인천광역시,상세주소383
R00384,2023-01-17 00:00:00,220786.24209736186,Fri,14,22,29,2023-01-17 04:00:00,59.62730322653784,13329.0,경기도,상세주소384
R00385,2023-01-17 01:00:00,241240.79818506973,Fri,15,2,49,2023-01-17 01:55:00,29.642530928259223,29298.0,충청남도,상세주소385
R00386,2023-01-17 02:00:00,85328.33719882063,Thu,12,17,11,2023-01-17 05:22:00,65.5162493619595,4688.0,서울특별시,상세주소386
R00387,2023-01-17 03:00:00,54054.42359013712,Mon,16,5,28,2023-01-17 06:05:00,24.75668699134261,7860.0,경기도,상세주소387
R00388,2023-01-17 04:00:00,225433.81074061664,Sat,2,14,2,2023-01-17 08:27:00,42.32292013901994,19175.0,경기도,상세주소388
R00389,2023-01-17 05:00:00,242243.58704091195,Mon,19,25,25,2023-01-17 06:51:00,52.72173335841997,16541.0,인천광역시,상세주소389
R00390,2023-01-17 06:00:00,297161.0374582013,Mon,10,24,29,2023-01-17 07:37:00,51.33593185620711,20838.0,-,상세주소390
R00391,2023-01-17 07:00:00,124372.68539651652,Thu,20,30,8,2023-01-17 08:13:00,27.051746789879488,16551.0,경기도,상세주소391
R00392,2023-01-17 08:00:00,112233.40765204217,Mon,18,29,25,2023-01-17 09:30:00,87.42319107076383,4621.0,경기도,상세주소392
R00393,2023-01-17 09:00:00,233147.47526185706,Sat,21,20,1,2023-01-17 11:32:00,92.96005580113399,9028.0,서울특별시,상세주소393
R00394,2023-01-17 10:00:00,102900.25853565233,Wed,10,21,2,2023-01-17 13:45:00,105.01550208617898,3527.0,충청남도,상세주소394
R00395,2023-01-17 11:00:00,279296.44035546586,Fri,15,29,45,2023-01-17 13:20:00,82.95302834979313,12120.0,인천광역시,상세주소395
R00396,2023-01-17 12:00:00,257665.41280106053,Wed,20,21,3,2023-01-17 16:47:00,52.09106922419453,17807.0,서울특별시,상세주소396
R00397,2023-01-17 13:00:00,129269.21418513049,Mon,2,22,24,2023-01-17 14:58:00,51.7464095810285,8993.0,서울특별시,상세주소397
R00398,2023-01-17 14:00:00,225510.44926965772,Wed,21,3,12,2023-01-17 17:47:00,50.6421232765355,16030.0,경기도,상세주소398
R00399,2023-01-17 15:00:00,226608.31935132,Sat,5,5,38,2023-01-17 18:49:00,99.71275372451552,8181.0,서울특별시,상세주소399
R00400,2023-01-17 16:00:00,31834.03678194385,Sat,13,16,43,2023-01-17 18:08:00,57.68917062069679,1986.0,경기도,상세주소400
R00401,2023-01-17 17:00:00,270863.31909719046,Mon,23,18,34,2023-01-17 17:56:00,85.38465813840455,11420.0,충청남도,상세주소401
R00402,2023-01-17 18:00:00,152070.45936190928,Thu,17,26,22,2023-01-17 19:58:00,83.82869955438878,6530.0,경기도,상세주소402
R00403,2023-01-17 19:00:00,248110.78236621476,Wed,16,17,8,2023-01-17 21:55:00,63.79095712161741,14001.0,서울특별시,상세주소403
R00404,2023-01-17 20:00:00,96694.83070815292,Thu,3,11,1,2023-01-17 23:31:00,30.9671831254099,11240.0,경기도,상세주소404
R00405,2023-01-17 21:00:00,268761.4453203639,Thu,22,17,40,2023-01-18 01:46:00,58.12162722698169,16646.0,서울특별시,상세주소405
R00406,2023-01-17 22:00:00,117371.30194151477,Tue,14,16,43,2023-01-18 01:38:00,62.93932552425905,6713.0,경기도,상세주소406
R00407,2023-01-17 23:00:00,4240.45779260921,Mon,10,26,30,2023-01-18 03:29:00,85.5584257980597,178.0,경기도,상세주소407
R00408,2023-01-18 00:00:00,271709.2109493598,Fri,2,23,43,2023-01-18 03:45:00,60.389158242005834,16197.0,경기도,상세주소408
R00409,2023-01-18 01:00:00,28294.716359053935,Sat,2,2,46,2023-01-18 04:14:00,35.82788872750388,2843.0,인천광역시,상세주소409
R00410,2023-01-18 02:00:00,96474.77763953405,Sat,15,4,1,2023-01-18 02:37:00,79.75819995463411,4354.0,경기도,상세주소410
R00411,2023-01-18 03:00:00,285068.5281481907,Mon,4,21,31,2023-01-18 04:07:00,55.44917355005025,18507.0,인천광역시,상세주소411
R00412,2023-01-18 04:00:00,285231.53693432926,Sun,20,7,17,2023-01-18 06:23:00,10.0,102683.0,서울특별시,상세주소412
R00413,2023-01-18 05:00:00,172457.92854886255,Sun,9,2,12,2023-01-18 06:25:00,66.4996914915349,9336.0,서울특별시,상세주소413
R00414,2023-01-18 06:00:00,189919.32643877,Sun,18,30,45,2023-01-18 08:47:00,70.01542588240419,9765.0,서울특별시,상세주소414
R00415,2023-01-18 07:00:00,135085.2110715176,Fri,3,6,4,2023-01-18 09:11:00,43.141236142684235,11272.0,-,상세주소415
R00416,2023-01-18 08:00:00,88670.0207377213,Sat,18,17,41,2023-01-18 11:26:00,56.159083987538224,5684.0,경기도,상세주소416
R00417,2023-01-18 09:00:00,99270.69906560487,Mon,10,7,43,2023-01-18 12:18:00,73.15434051947899,4885.0,경기도,상세주소417
R00418,2023-01-18 10:00:00,202083.0183670345,Sat,1,25,9,2023-01-18 14:50:00,66.63569602404566,10917.0,강원도,상세주소418
R00419,2023-01-18 11:00:00,225959.98430186632,Thu,9,5,42,2023-01-18 15:12:00,28.74686099770002,28297.0,경기도,상세주소419
R00420,2023-01-18 12:00:00,237682.1340740287,Wed,10,5,24,2023-01-18 15:48:00,85.07100332994736,10058.0,충청남도,상세주소420
R00421,2023-01-18 13:00:00,237095.82469557162,Wed,19,20,33,2023-01-18 17:00:00,94.126612390773,9068.0,경기도,상세주소421
R00422,2023-01-18 14:00:00,28270.62481155842,Sat,15,16,36,2023-01-18 17:29:00,49.796322279363146,2043.0,서울특별시,상세주소422
R00423,2023-01-18 15:00:00,148831.67110607185,Tue,18,19,29,2023-01-18 19:39:00,21.80256854154827,24574.0,경기도,상세주소423
R00424,2023-01-18 16:00:00,18210.06924497664,Fri,22,9,6,2023-01-18 20:20:00,75.42225613605902,869.0,강원도,상세주소424
R00425,2023-01-18 17:00:00,165309.13581479693,Sun,23,5,5,2023-01-18 17:52:00,46.53815121643813,12787.0,서울특별시,상세주소425
R00426,2023-01-18 18:00:00,133017.61991063974,Fri,10,8,2,2023-01-18 19:17:00,70.708975901705,6772.0,경기도,상세주소426
R00427,2023-01-18 19:00:00,266423.5506447316,Fri,13,9,12,2023-01-18 21:18:00,104.04340933134077,9218.0,경기도,상세주소427
R00428,2023-01-18 20:00:00,105923.58875307153,Thu,1,5,2,2023-01-18 20:35:00,29.073848416222976,13115.0,경기도,상세주소428
R00429,2023-01-18 21:00:00,36003.03791185415,Fri,22,10,25,2023-01-18 22:07:00,44.06758240375352,2941.0,인천광역시,상세주소429
R00430,2023-01-18 22:00:00,43754.51293379792,Wed,4,25,23,2023-01-19 01:18:00,56.110408129031015,2807.0,경기도,상세주소430
R00431,2023-01-18 23:00:00,228691.6788835242,Thu,4,2,5,2023-01-19 02:52:00,85.83356722717883,9591.0,경기도,상세주소431
R00432,2023-01-19 00:00:00,185847.20093156205,Mon,18,9,42,2023-01-19 04:33:00,131.1123425910655,5102.0,서울특별시,상세주소432
R00433,2023-01-19 01:00:00,31235.680160714284,Fri,20,11,48,2023-01-19 02:16:00,64.94170374199255,1731.0,서울특별시,상세주소433
R00434,2023-01-19 02:00:00,26147.935028384232,Fri,11,4,41,2023-01-19 06:38:00,27.355545185509612,3441.0,경기도,상세주소434
R00435,2023-01-19 03:00:00,210589.77030627689,Mon,17,22,11,2023-01-19 04:48:00,53.08957251497554,14280.0,경기도,상세주소435
R00436,2023-01-19 04:00:00,22756.138902893865,Fri,3,22,48,2023-01-19 06:19:00,44.50273027524031,1840.0,인천광역시,상세주소436
R00437,2023-01-19 05:00:00,246736.15772781652,Mon,21,22,35,2023-01-19 05:42:00,74.43170955371579,11933.0,-,상세주소437
R00438,2023-01-19 06:00:00,212166.42591979235,Thu,16,2,1,2023-01-19 07:59:00,67.53769406597866,11309.0,경기도,상세주소438
R00439,2023-01-19 07:00:00,25323.28541192803,Wed,9,23,10,2023-01-19 11:10:00,39.16373263990804,2327.0,인천광역시,상세주소439
R00440,2023-01-19 08:00:00,26366.476511472385,Mon,19,29,38,2023-01-19 09:42:00,43.33029151505738,2190.0,경기도,상세주소440
R00441,2023-01-19 09:00:00,296005.23397185147,Tue,5,6,33,2023-01-19 13:23:00,52.79885554851323,20182.0,경기도,상세주소441
R00442,2023-01-19 10:00:00,112906.96793107997,Mon,13,27,25,2023-01-19 14:49:00,55.21283379874501,7361.0,서울특별시,상세주소442
R00443,2023-01-19 11:00:00,111822.00197300038,Fri,10,14,17,2023-01-19 13:22:00,59.156221676608446,6805.0,경기도,상세주소443
R00444,2023-01-19 12:00:00,244027.07060999327,Sun,10,1,20,2023-01-19 13:15:00,60.97746430388833,14406.0,서울특별시,상세주소444
R00445,2023-01-19 13:00:00,284227.32463777374,Sun,17,18,35,2023-01-19 14:12:00,84.69701075469075,12080.0,충청남도,상세주소445
R00446,2023-01-19 14:00:00,295814.3180830384,Thu,22,7,39,2023-01-19 17:57:00,52.07577975957119,20449.0,강원도,상세주소446
R00447,2023-01-19 15:00:00,226260.07739242355,Sat,21,1,45,2023-01-19 17:12:00,49.128663195068334,16579.0,경기도,상세주소447
R00448,2023-01-19 16:00:00,113501.61607374382,Thu,17,1,43,2023-01-19 18:33:00,33.22451958220235,12298.0,경기도,상세주소448
R00449,2023-01-19 17:00:00,25966.71429290196,Sat,23,1,21,2023-01-19 17:39:00,55.5228153476495,1683.0,-,상세주소449
R00450,2023-01-19 18:00:00,233366.9278623036,Sun,22,24,29,2023-01-19 21:36:00,65.12392492386098,12900.0,경기도,상세주소450
R00451,2023-01-19 19:00:00,167962.87067100572,Sun,10,4,49,2023-01-19 20:00:00,25.51807276813642,23695.0,서울특별시,상세주소451
R00452,2023-01-19 20:00:00,127842.3807648459,Mon,20,4,42,2023-01-19 23:05:00,53.15142813210855,8658.0,경기도,상세주소452
R00453,2023-01-19 21:00:00,271999.9611433261,Wed,11,29,29,2023-01-19 22:29:00,83.20588259840088,11768.0,경기도,상세주소453
R00454,2023-01-19 22:00:00,34248.047209539254,Tue,4,18,7,2023-01-20 02:38:00,72.96612085402421,1689.0,경기도,상세주소454
R00455,2023-01-19 23:00:00,148294.9061829669,Thu,22,27,33,2023-01-20 03:59:00,67.46866345521585,7912.0,충청남도,상세주소455
R00456,2023-01-20 00:00:00,4394.739785458301,Fri,8,11,46,2023-01-20 04:06:00,72.4242459794901,218.0,충청남도,상세주소456
R00457,2023-01-20 01:00:00,141129.53195624377,Sat,8,27,8,2023-01-20 01:31:00,48.52591460220751,10469.0,경기도,상세주소457
R00458,2023-01-20 02:00:00,17834.679428869367,Fri,21,1,19,2023-01-20 02:53:00,45.86160428188076,1399.0,충청남도,상세주소458
R00459,2023-01-20 03:00:00,36526.556964153504,Wed,9,28,39,2023-01-20 06:55:00,85.43817561476314,1539.0,경기도,상세주소459
R00460,2023-01-20 04:00:00,36140.34778635436,Sat,21,10,24,2023-01-20 07:48:00,76.57278758849752,1699.0,경기도,상세주소460
R00461,2023-01-20 05:00:00,195113.880332703,Thu,18,9,18,2023-01-20 07:23:00,45.07453956737792,15583.0,인천광역시,상세주소461
R00462,2023-01-20 06:00:00,224067.41890036158,Mon,0,23,4,2023-01-20 09:04:00,22.425520806440275,35969.0,서울특별시,상세주소462
R00463,2023-01-20 07:00:00,175427.26076405073,Fri,6,4,10,2023-01-20 10:14:00,45.489689030393656,13883.0,경기도,상세주소463
R00464,2023-01-20 08:00:00,288689.591993888,Wed,3,28,14,2023-01-20 12:11:00,70.87068454931827,14664.0,경기도,상세주소464
R00465,2023-01-20 09:00:00,113086.30327758752,Thu,0,6,7,2023-01-20 11:00:00,46.834797145535404,8692.0,-,상세주소465
R00466,2023-01-20 10:00:00,86427.91379827636,Sun,14,30,18,2023-01-20 13:16:00,66.60135621601032,4671.0,충청남도,상세주소466
R00467,2023-01-20 11:00:00,260711.13932864863,Sun,7,16,22,2023-01-20 14:56:00,88.39541107797797,10617.0,충청남도,상세주소467
R00468,2023-01-20 12:00:00,67855.15571731635,Thu,11,2,26,2023-01-20 13:34:00,58.13945844413851,4201.0,경기도,상세주소468
R00469,2023-01-20 13:00:00,289003.5392927428,Thu,21,23,39,2023-01-20 13:33:00,64.67920305969757,16085.0,인천광역시,상세주소469
R00470,2023-01-20 14:00:00,4634.187932255087,Thu,21,18,31,2023-01-20 17:06:00,73.69807712999132,226.0,경기도,상세주소470
R00471,2023-01-20 15:00:00,290993.7691855841,Sat,17,10,25,2023-01-20 19:38:00,38.358314833449285,27310.0,-,상세주소471
R00472,2023-01-20 16:00:00,13904.813673222257,Thu,14,24,26,2023-01-20 20:46:00,44.539015499758975,1123.0,경기도,상세주소472
R00473,2023-01-20 17:00:00,267451.7909957233,Fri,16,24,18,2023-01-20 21:24:00,74.52322319807094,12919.0,경기도,상세주소473
R00474,2023-01-20 18:00:00,158782.63161680367,Wed,13,17,49,2023-01-20 19:43:00,60.73935041098216,9410.0,서울특별시,상세주소474
R00475,2023-01-20 19:00:00,297896.4740396708,Sat,13,13,41,2023-01-20 22:36:00,62.43517220618859,17176.0,충청남도,상세주소475
R00476,2023-01-20 20:00:00,23065.17285588426,Thu,17,24,28,2023-01-20 21:31:00,60.665716557146986,1368.0,인천광역시,상세주소476
R00477,2023-01-20 21:00:00,166602.4310359949,Tue,19,18,38,2023-01-21 00:13:00,79.56587937923916,7538.0,경기도,상세주소477
R00478,2023-01-20 22:00:00,290821.4581501106,Tue,17,22,40,2023-01-20 23:25:00,68.71425280899349,15236.0,서울특별시,상세주소478
R00479,2023-01-20 23:00:00,157406.2554068745,Wed,15,13,32,2023-01-21 01:20:00,68.97640182141623,8215.0,충청남도,상세주소479
R00480,2023-01-21 00:00:00,189190.1928024435,Sun,0,17,18,2023-01-21 04:07:00,84.44396315111545,8065.0,경기도,상세주소480
R00481,2023-01-21 01:00:00,209028.85800640052,Mon,22,5,36,2023-01-21 05:29:00,92.13147716149378,8167.0,충청남도,상세주소481
R00482,2023-01-21 02:00:00,136907.77836556418,Mon,10,11,18,2023-01-21 02:50:00,104.87183447536094,4699.0,강원도,상세주소482
R00483,2023-01-21 03:00:00,188639.86594513498,Sun,14,7,32,2023-01-21 05:50:00,48.419726103694536,14025.0,경기도,상세주소483
R00484,2023-01-21 04:00:00,175709.97926500696,Sat,11,29,46,2023-01-21 08:54:00,109.38814828017249,5782.0,경기도,상세주소484
R00485,2023-01-21 05:00:00,270446.2451368057,Sat,7,10,15,2023-01-21 07:48:00,38.06454113089634,25577.0,경기도,상세주소485
R00486,2023-01-21 06:00:00,14588.467722095904,Sat,21,17,22,2023-01-21 07:39:00,98.70494806086252,532.0,경기도,상세주소486
R00487,2023-01-21 07:00:00,85007.99368807687,Mon,19,15,6,2023-01-21 09:27:00,47.32080282617248,6467.0,서울특별시,상세주소487
R00488,2023-01-21 08:00:00,285173.03373889107,Tue,5,18,25,2023-01-21 11:47:00,58.621204075904934,17512.0,인천광역시,상세주소488
R00489,2023-01-21 09:00:00,267188.871383384,Mon,2,23,31,2023-01-21 12:54:00,60.37151890325947,15932.0,서울특별시,상세주소489
R00490,2023-01-21 10:00:00,137241.36908292817,Fri,23,22,11,2023-01-21 14:03:00,42.660585003439635,11581.0,경기도,상세주소490
R00491,2023-01-21 11:00:00,186419.64674265948,Thu,12,19,7,2023-01-21 12:25:00,61.734373335119216,10870.0,서울특별시,상세주소491
R00492,2023-01-21 12:00:00,83936.97371135867,Sat,12,30,4,2023-01-21 15:24:00,43.69323780324716,6915.0,서울특별시,상세주소492
R00493,2023-01-21 13:00:00,57248.226757404635,Tue,1,26,41,2023-01-21 15:37:00,35.301131426586004,5838.0,강원도,상세주소493
R00494,2023-01-21 14:00:00,139645.82307705467,Wed,4,2,27,2023-01-21 18:15:00,59.22552733947532,8488.0,경기도,상세주소494
R00495,2023-01-21 15:00:00,106652.31617978979,Wed,16,26,4,2023-01-21 16:33:00,91.79753780485868,4182.0,서울특별시,상세주소495
R00496,2023-01-21 16:00:00,175513.17744341074,Thu,5,4,48,2023-01-21 17:17:00,54.91960521966049,11504.0,강원도,상세주소496
R00497,2023-01-21 17:00:00,24242.656452530468,Tue,1,3,25,2023-01-21 20:51:00,78.82041830748432,1107.0,서울특별시,상세주소497
R00498,2023-01-21 18:00:00,292344.0474921838,Mon,3,7,4,2023-01-21 19:29:00,43.086674145683624,24426.0,경기도,상세주소498
R00499,2023-01-21 19:00:00,295877.01259940123,Mon,21,24,21,2023-01-21 23:46:00,34.33047858730933,31026.0,경기도,상세주소499
R00500,2023-01-21 20:00:00,,Fri,10,18,14,2023-01-21 21:34:00,69.0772031391072,10931.0,충청남도,상세주소500
R00501,2023-01-21 21:00:00,161292.813536892,Fri,7,10,12,2023-01-22 01:28:00,95.11224770202892,6104.0,경기도,상세주소501
R00502,2023-01-21 22:00:00,93548.75726961199,Mon,11,7,27,2023-01-21 23:07:00,64.17908904266308,5247.0,강원도,상세주소502
R00503,2023-01-21 23:00:00,244324.71089237765,Wed,7,8,32,2023-01-21 23:54:00,76.53294893074145,11492.0,충청남도,상세주소503
R00504,2023-01-22 00:00:00,205734.6205936099,Sat,10,6,42,2023-01-22 01:28:00,89.90248820392954,8238.0,경기도,상세주소504
R00505,2023-01-22 01:00:00,49622.4648641225,Wed,21,22,22,2023-01-22 04:07:00,59.26939300635713,3014.0,서울특별시,상세주소505
R00506,2023-01-22 02:00:00,273367.2281636589,Fri,19,26,32,2023-01-22 03:26:00,56.958734366775005,17277.0,경기도,상세주소506
R00507,2023-01-22 03:00:00,246938.63563402754,Thu,7,1,42,2023-01-22 04:17:00,69.44176701261264,12801.0,경기도,상세주소507
R00508,2023-01-22 04:00:00,284990.1740742853,Mon,7,4,17,2023-01-22 05:25:00,73.00038212236339,14054.0,인천광역시,상세주소508
R00509,2023-01-22 05:00:00,217990.13300811962,Fri,16,14,49,2023-01-22 06:34:00,32.0204982263358,24508.0,서울특별시,상세주소509
R00510,2023-01-22 06:00:00,184411.14358480118,Fri,19,17,29,2023-01-22 10:57:00,65.914512525415,10071.0,경기도,상세주소510
R00511,2023-01-22 07:00:00,126054.66785089504,Sat,19,20,25,2023-01-22 08:38:00,59.986371811136095,7564.0,충청남도,상세주소511
R00512,2023-01-22 08:00:00,279885.81652284996,Mon,22,18,15,2023-01-22 12:05:00,44.20962321779374,22791.0,경기도,상세주소512
R00513,2023-01-22 09:00:00,259953.1029606221,Sat,15,11,12,2023-01-22 10:58:00,58.603792196446264,15968.0,서울특별시,상세주소513
R00514,2023-01-22 10:00:00,14520.382361750633,Mon,13,29,38,2023-01-22 14:46:00,36.693503362745496,1424.0,서울특별시,상세주소514
R00515,2023-01-22 11:00:00,8883.72537467835,Sat,10,21,32,2023-01-22 14:09:00,29.78144540252632,1073.0,경기도,상세주소515
R00516,2023-01-22 12:00:00,113562.54669653683,Wed,6,26,25,2023-01-22 16:23:00,61.33696499282056,6665.0,-,상세주소516
R00517,2023-01-22 13:00:00,243355.44590376804,Thu,15,14,47,2023-01-22 15:40:00,78.04154046791152,11225.0,서울특별시,상세주소517
R00518,2023-01-22 14:00:00,296195.56266516837,Thu,12,9,0,2023-01-22 15:18:00,53.05418523693284,20098.0,서울특별시,상세주소518
R00519,2023-01-22 15:00:00,45974.65043995493,Mon,14,27,48,2023-01-22 17:56:00,40.785414723846486,4058.0,서울특별시,상세주소519
R00520,2023-01-22 16:00:00,178645.0838902884,Tue,23,15,37,2023-01-22 16:31:00,43.894024288240004,14651.0,경기도,상세주소520
R00521,2023-01-22 17:00:00,114886.36613267544,Sun,15,12,1,2023-01-22 19:54:00,70.97889035533106,5826.0,경기도,상세주소521
R00522,2023-01-22 18:00:00,291004.4049465664,Fri,20,10,48,2023-01-22 19:30:00,93.34770435885196,11222.0,서울특별시,상세주소522
R00523,2023-01-22 19:00:00,252793.5580175769,Fri,22,19,5,2023-01-22 20:18:00,75.40912382854593,12068.0,강원도,상세주소523
R00524,2023-01-22 20:00:00,251660.28270863023,Mon,23,24,45,2023-01-22 22:40:00,86.01583798497114,10532.0,충청남도,상세주소524
R00525,2023-01-22 21:00:00,141139.2547786961,Sat,8,19,49,2023-01-22 22:12:00,39.04752604459662,13012.0,경기도,상세주소525
R00526,2023-01-22 22:00:00,125031.0311989619,Tue,2,6,37,2023-01-22 23:26:00,58.52140166530392,7691.0,서울특별시,상세주소526
R00527,2023-01-22 23:00:00,82748.71450728117,Wed,18,20,41,2023-01-23 00:19:00,80.37381700848815,3706.0,경기도,상세주소527
R00528,2023-01-23 00:00:00,17856.273498627208,Sat,19,24,23,2023-01-23 03:27:00,32.016448375455354,2007.0,경기도,상세주소528
R00529,2023-01-23 01:00:00,259551.9905002609,Sat,4,27,17,2023-01-23 02:15:00,46.832535727471765,19951.0,서울특별시,상세주소529
R00530,2023-01-23 02:00:00,244057.4017298932,Mon,9,6,26,2023-01-23 05:19:00,78.84038314083065,11144.0,서울특별시,상세주소530
R00531,2023-01-23 03:00:00,299915.58431255305,Mon,16,8,40,2023-01-23 05:48:00,65.16851541576698,16567.0,경기도,상세주소531
R00532,2023-01-23 04:00:00,298994.41428509774,Fri,14,1,7,2023-01-23 08:36:00,40.69778135434633,26448.0,서울특별시,상세주소532
R00533,2023-01-23 05:00:00,167074.0799751856,Mon,22,22,27,2023-01-23 07:57:00,27.383571855861796,21964.0,인천광역시,상세주소533
R00534,2023-01-23 06:00:00,230927.23713897265,Mon,7,17,9,2023-01-23 10:19:00,86.74630362730012,9583.0,경기도,상세주소534
R00535,2023-01-23 07:00:00,283484.953234846,Mon,14,17,16,2023-01-23 09:34:00,18.93231232918157,53904.0,인천광역시,상세주소535
R00536,2023-01-23 08:00:00,255044.56981254602,Fri,20,24,28,2023-01-23 11:41:00,72.64790357940609,12638.0,경기도,상세주소536
R00537,2023-01-23 09:00:00,74957.0824212161,Wed,13,15,5,2023-01-23 10:49:00,49.33911129226606,5469.0,서울특별시,상세주소537
R00538,2023-01-23 10:00:00,135712.69645771798,Wed,19,7,13,2023-01-23 12:03:00,80.94136632726702,6036.0,충청남도,상세주소538
R00539,2023-01-23 11:00:00,39618.665130297,Sun,6,19,21,2023-01-23 15:15:00,39.157034003821934,3642.0,서울특별시,상세주소539
R00540,2023-01-23 12:00:00,286261.257150358,Sun,20,22,5,2023-01-23 13:34:00,112.29597870723538,9177.0,강원도,상세주소540
R00541,2023-01-23 13:00:00,182246.21570081313,Mon,22,25,25,2023-01-23 14:57:00,68.04597711376763,9641.0,경기도,상세주소541
R00542,2023-01-23 14:00:00,69364.19884553536,Sun,11,23,38,2023-01-23 15:57:00,71.34138437571178,3500.0,서울특별시,상세주소542
R00543,2023-01-23 15:00:00,201838.50463735117,Fri,16,28,11,2023-01-23 18:50:00,44.53905626446314,16314.0,서울특별시,상세주소543
R00544,2023-01-23 16:00:00,185820.34389691084,Wed,16,3,34,2023-01-23 20:03:00,57.33239331602347,11667.0,서울특별시,상세주소544
R00545,2023-01-23 17:00:00,108090.65269181931,Sat,9,30,13,2023-01-23 20:53:00,57.851018544876396,6726.0,충청남도,상세주소545
R00546,2023-01-23 18:00:00,34953.72006768908,Wed,18,30,21,2023-01-23 19:58:00,95.92136658503365,1311.0,인천광역시,상세주소546
R00547,2023-01-23 19:00:00,201800.38548224707,Wed,13,29,22,2023-01-23 20:30:00,68.01153542855573,10681.0,인천광역시,상세주소547
R00548,2023-01-23 20:00:00,156572.0025702342,Fri,10,22,47,2023-01-23 22:03:00,70.87659412806477,7952.0,경기도,상세주소548
R00549,2023-01-23 21:00:00,231923.19912895616,Sun,1,11,6,2023-01-23 21:56:00,70.65297752963728,11817.0,경기도,상세주소549
R00550,2023-01-23 22:00:00,,Sat,17,20,39,2023-01-24 02:03:00,72.57221798169194,7764.0,서울특별시,상세주소550
R00551,2023-01-23 23:00:00,255802.26859524348,Fri,6,30,49,2023-01-24 00:43:00,32.210929805144204,28589.0,서울특별시,상세주소551
R00552,2023-01-24 00:00:00,166020.14479357118,Mon,11,29,24,2023-01-24 01:30:00,100.98536216073428,5918.0,-,상세주소552
R00553,2023-01-24 01:00:00,168720.4534890805,Thu,1,19,12,2023-01-24 04:35:00,42.45022855610081,14308.0,경기도,상세주소553
R00554,2023-01-24 02:00:00,263119.42719484516,Wed,19,9,20,2023-01-24 03:00:00,59.23191328661826,15991.0,경기도,상세주소554
R00555,2023-01-24 03:00:00,121641.37699750671,Thu,17,10,40,2023-01-24 07:08:00,90.62965795043255,4831.0,서울특별시,상세주소555
R00556,2023-01-24 04:00:00,41070.55330674158,Fri,5,2,9,2023-01-24 04:41:00,98.69250593474723,1498.0,충청남도,상세주소556
R00557,2023-01-24 05:00:00,9606.020217688352,Fri,23,1,8,2023-01-24 06:01:00,76.11908159462949,454.0,강원도,상세주소557
R00558,2023-01-24 06:00:00,226786.0394464121,Fri,9,30,14,2023-01-24 09:09:00,347.76884584039095,2347.0,경기도,상세주소558
R00559,2023-01-24 07:00:00,186472.55585468592,Thu,19,16,1,2023-01-24 11:26:00,62.554691058886,10731.0,경기도,상세주소559
R00560,2023-01-24 08:00:00,211519.85066166785,Fri,14,18,24,2023-01-24 12:16:00,63.33934558215709,12022.0,서울특별시,상세주소560
R00561,2023-01-24 09:00:00,64676.28429116431,Mon,4,23,12,2023-01-24 12:30:00,64.04780914618267,3635.0,경기도,상세주소561
R00562,2023-01-24 10:00:00,41775.07120044416,Fri,19,26,33,2023-01-24 11:15:00,35.39893945175072,4248.0,-,상세주소562
R00563,2023-01-24 11:00:00,5348.855034696697,Tue,2,17,33,2023-01-24 12:49:00,85.20219064790975,226.0,서울특별시,상세주소563
R00564,2023-01-24 12:00:00,105825.6800831725,Sun,4,6,34,2023-01-24 14:44:00,62.691779518755574,6076.0,경기도,상세주소564
R00565,2023-01-24 13:00:00,177385.3883695353,Thu,7,14,37,2023-01-24 17:49:00,45.55562462100117,14017.0,경기도,상세주소565
R00566,2023-01-24 14:00:00,118280.96948481996,Tue,7,23,2,2023-01-24 18:36:00,50.03213824505117,8510.0,경기도,상세주소566
R00567,2023-01-24 15:00:00,131805.001685095,Fri,7,25,41,2023-01-24 18:08:00,65.39700071017425,7255.0,충청남도,상세주소567
